 IDnum	Installation_Type	Coal_Worker_Strike	Strike_Resolution	Strike_Intervention	Additional_Cost
1196	New_cleaner_coal	Yes	Quick	No	0.7
1197	Install_scrubbers	No	Lengthy	No	0.7
1198	New_cleaner_coal	No	Quick	Yes	1
1199	Install_scrubbers	No	Quick	Yes	0.7
1200	New_cleaner_coal	No	Quick	Yes	1
1201	New_cleaner_coal	No	Quick	No	1
1202	Install_scrubbers	No	Quick	No	0.7
1203	Install_scrubbers	Yes	Quick	No	0.7
1204	Install_scrubbers	No	Quick	Yes	0.7
1205	New_cleaner_coal	Yes	Quick	Yes	0.4
1206	New_cleaner_coal	Yes	Quick	Yes	0.4
1207	New_cleaner_coal	Yes	Quick	No	0.7
1208	New_cleaner_coal	No	Quick	No	1
1209	Install_scrubbers	No	Quick	Yes	0.7
1210	Install_scrubbers	No	Quick	No	0.7
1211	New_cleaner_coal	Yes	Quick	Yes	0.4
1212	Install_scrubbers	Yes	Quick	No	0.7
1213	New_cleaner_coal	No	Quick	Yes	1
1214	New_cleaner_coal	No	Quick	Yes	1
1215	New_cleaner_coal	No	Lengthy	No	1
1216	Install_scrubbers	Yes	Quick	No	0.7
1217	New_cleaner_coal	Yes	Quick	Yes	0.4
1218	Install_scrubbers	Yes	Quick	Yes	0.7
1219	New_cleaner_coal	No	Lengthy	No	1
1220	Install_scrubbers	No	Quick	Yes	0.7
1221	Install_scrubbers	Yes	Quick	No	0.7
1222	New_cleaner_coal	No	Quick	Yes	1
1223	Install_scrubbers	Yes	Quick	No	0.7
1224	Install_scrubbers	Yes	Lengthy	No	0.7
1225	New_cleaner_coal	Yes	Quick	Yes	0.4
1226	New_cleaner_coal	No	Quick	Yes	1
1227	New_cleaner_coal	No	Quick	No	1
1228	New_cleaner_coal	Yes	Quick	Yes	0.4
1229	Install_scrubbers	Yes	Lengthy	No	0.7
1230	New_cleaner_coal	Yes	Quick	Yes	0.4
1231	Install_scrubbers	Yes	Quick	No	0.7
1232	New_cleaner_coal	Yes	Quick	No	0.7
1233	New_cleaner_coal	No	Lengthy	No	1
1234	Install_scrubbers	Yes	Quick	No	0.7
1235	Install_scrubbers	No	Lengthy	No	0.7
1236	Install_scrubbers	No	Quick	No	0.7
1237	Install_scrubbers	No	Quick	Yes	0.7
1238	New_cleaner_coal	Yes	Quick	Yes	0.4
1239	New_cleaner_coal	Yes	Quick	No	0.7
1240	Install_scrubbers	Yes	Quick	No	0.7
1241	New_cleaner_coal	No	Quick	Yes	1
1242	Install_scrubbers	No	Quick	No	0.7
1243	Install_scrubbers	Yes	Quick	Yes	0.7
1244	Install_scrubbers	Yes	Quick	Yes	0.7
1245	New_cleaner_coal	Yes	Quick	Yes	0.4
1246	New_cleaner_coal	Yes	Lengthy	No	0.3
1247	New_cleaner_coal	Yes	Quick	No	0.7
1248	Install_scrubbers	Yes	Quick	No	0.7
1249	Install_scrubbers	Yes	Quick	No	0.7
1250	New_cleaner_coal	Yes	Quick	Yes	0.4
1251	Install_scrubbers	No	Quick	Yes	0.7
1252	New_cleaner_coal	No	Quick	No	1
1253	New_cleaner_coal	Yes	Quick	No	0.7
1254	Install_scrubbers	Yes	Lengthy	No	0.7
1255	Install_scrubbers	No	Lengthy	No	0.7
1256	Install_scrubbers	No	Quick	Yes	0.7
1257	Install_scrubbers	Yes	Quick	Yes	0.7
1258	Install_scrubbers	Yes	Quick	No	0.7
1259	New_cleaner_coal	Yes	Quick	Yes	0.4
1260	New_cleaner_coal	No	Lengthy	No	1
1261	New_cleaner_coal	No	Lengthy	No	1
1262	Install_scrubbers	Yes	Quick	Yes	0.7
1263	New_cleaner_coal	No	Lengthy	No	1
1264	New_cleaner_coal	No	Lengthy	No	1
1265	Install_scrubbers	No	Lengthy	No	0.7
1266	Install_scrubbers	No	Quick	No	0.7
1267	New_cleaner_coal	No	Quick	No	1
1268	New_cleaner_coal	Yes	Lengthy	No	0.3
1269	New_cleaner_coal	Yes	Quick	No	0.7
1270	New_cleaner_coal	Yes	Quick	Yes	0.4
1271	New_cleaner_coal	Yes	Quick	No	0.7
1272	New_cleaner_coal	No	Quick	Yes	1
1273	New_cleaner_coal	No	Quick	No	1
1274	Install_scrubbers	No	Quick	No	0.7
1275	Install_scrubbers	Yes	Quick	No	0.7
1276	Install_scrubbers	No	Quick	Yes	0.7
1277	Install_scrubbers	Yes	Quick	Yes	0.7
1278	New_cleaner_coal	No	Lengthy	No	1
1279	New_cleaner_coal	Yes	Quick	No	0.7
1280	New_cleaner_coal	Yes	Quick	Yes	0.4
1281	New_cleaner_coal	No	Lengthy	No	1
1282	Install_scrubbers	No	Quick	No	0.7
1283	New_cleaner_coal	Yes	Quick	No	0.7
1284	New_cleaner_coal	Yes	Quick	Yes	0.4
1285	New_cleaner_coal	No	Quick	Yes	1
1286	New_cleaner_coal	No	Lengthy	No	1
1287	New_cleaner_coal	Yes	Quick	No	0.7
1288	Install_scrubbers	Yes	Quick	No	0.7
1289	New_cleaner_coal	Yes	Quick	Yes	0.4
1290	Install_scrubbers	No	Quick	Yes	0.7
1291	Install_scrubbers	No	Quick	No	0.7
1292	New_cleaner_coal	Yes	Quick	Yes	0.4
1293	New_cleaner_coal	Yes	Quick	Yes	0.4
1294	New_cleaner_coal	Yes	Quick	Yes	0.4
1295	Install_scrubbers	No	Quick	Yes	0.7
1296	Install_scrubbers	Yes	Lengthy	No	0.7
1297	New_cleaner_coal	Yes	Quick	Yes	0.4
1298	New_cleaner_coal	Yes	Quick	No	0.7
1299	Install_scrubbers	Yes	Quick	Yes	0.7
1300	Install_scrubbers	Yes	Quick	No	0.7
1301	New_cleaner_coal	Yes	Lengthy	No	0.3
1302	Install_scrubbers	No	Quick	Yes	0.7
1303	Install_scrubbers	Yes	Lengthy	No	0.7
1304	Install_scrubbers	Yes	Quick	No	0.7
1305	Install_scrubbers	Yes	Quick	No	0.7
1306	New_cleaner_coal	Yes	Quick	No	0.7
1307	Install_scrubbers	Yes	Quick	No	0.7
1308	Install_scrubbers	No	Quick	Yes	0.7
1309	Install_scrubbers	Yes	Quick	Yes	0.7
1310	Install_scrubbers	Yes	Quick	Yes	0.7
1311	Install_scrubbers	Yes	Quick	Yes	0.7
1312	New_cleaner_coal	Yes	Lengthy	Yes	0
1313	Install_scrubbers	Yes	Quick	Yes	0.7
1314	New_cleaner_coal	Yes	Quick	No	0.7
1315	Install_scrubbers	Yes	Quick	Yes	0.7
1316	New_cleaner_coal	Yes	Lengthy	No	0.3
1317	New_cleaner_coal	No	Quick	Yes	1
1318	New_cleaner_coal	Yes	Quick	Yes	0.4
1319	Install_scrubbers	Yes	Quick	No	0.7
1320	New_cleaner_coal	No	Quick	Yes	1
1321	Install_scrubbers	No	Lengthy	No	0.7
1322	Install_scrubbers	Yes	Quick	No	0.7
1323	Install_scrubbers	No	Quick	No	0.7
1324	Install_scrubbers	Yes	Quick	No	0.7
1325	Install_scrubbers	Yes	Quick	Yes	0.7
1326	New_cleaner_coal	Yes	Quick	Yes	0.4
1327	New_cleaner_coal	Yes	Quick	No	0.7
1328	New_cleaner_coal	Yes	Quick	Yes	0.4
1329	New_cleaner_coal	Yes	Quick	Yes	0.4
1330	New_cleaner_coal	Yes	Quick	No	0.7
1331	Install_scrubbers	No	Quick	No	0.7
1332	Install_scrubbers	No	Lengthy	No	0.7
1333	Install_scrubbers	No	Quick	No	0.7
1334	New_cleaner_coal	Yes	Quick	No	0.7
1335	New_cleaner_coal	Yes	Quick	Yes	0.4
1336	New_cleaner_coal	Yes	Quick	Yes	0.4
1337	New_cleaner_coal	No	Quick	Yes	1
1338	Install_scrubbers	Yes	Quick	No	0.7
1339	Install_scrubbers	Yes	Lengthy	No	0.7
1340	Install_scrubbers	Yes	Quick	No	0.7
1341	Install_scrubbers	Yes	Quick	No	0.7
1342	Install_scrubbers	Yes	Lengthy	No	0.7
1343	Install_scrubbers	Yes	Quick	Yes	0.7
1344	New_cleaner_coal	Yes	Quick	No	0.7
1345	Install_scrubbers	Yes	Quick	Yes	0.7
1346	New_cleaner_coal	Yes	Quick	No	0.7
1347	Install_scrubbers	Yes	Lengthy	No	0.7
1348	New_cleaner_coal	Yes	Quick	Yes	0.4
1349	Install_scrubbers	Yes	Quick	Yes	0.7
1350	Install_scrubbers	Yes	Quick	Yes	0.7
1351	New_cleaner_coal	No	Quick	Yes	1
1352	Install_scrubbers	Yes	Quick	No	0.7
1353	New_cleaner_coal	Yes	Quick	Yes	0.4
1354	Install_scrubbers	Yes	Quick	Yes	0.7
1355	New_cleaner_coal	Yes	Quick	No	0.7
1356	New_cleaner_coal	No	Quick	Yes	1
1357	New_cleaner_coal	Yes	Quick	Yes	0.4
1358	Install_scrubbers	No	Quick	Yes	0.7
1359	Install_scrubbers	Yes	Quick	No	0.7
1360	Install_scrubbers	No	Lengthy	Yes	0.7
1361	Install_scrubbers	No	Quick	No	0.7
1362	New_cleaner_coal	No	Quick	No	1
1363	Install_scrubbers	No	Quick	Yes	0.7
1364	Install_scrubbers	No	Quick	Yes	0.7
1365	New_cleaner_coal	Yes	Quick	Yes	0.4
1366	New_cleaner_coal	Yes	Quick	Yes	0.4
1367	Install_scrubbers	Yes	Quick	Yes	0.7
1368	Install_scrubbers	Yes	Quick	Yes	0.7
1369	Install_scrubbers	No	Lengthy	No	0.7
1370	New_cleaner_coal	Yes	Quick	Yes	0.4
1371	Install_scrubbers	No	Quick	Yes	0.7
1372	Install_scrubbers	No	Quick	No	0.7
1373	New_cleaner_coal	Yes	Quick	Yes	0.4
1374	Install_scrubbers	Yes	Quick	No	0.7
1375	Install_scrubbers	Yes	Lengthy	Yes	0.7
1376	Install_scrubbers	No	Quick	Yes	0.7
1377	Install_scrubbers	Yes	Quick	Yes	0.7
1378	Install_scrubbers	No	Quick	No	0.7
1379	Install_scrubbers	Yes	Quick	Yes	0.7
1380	Install_scrubbers	Yes	Quick	Yes	0.7
1381	Install_scrubbers	Yes	Quick	No	0.7
1382	Install_scrubbers	No	Quick	No	0.7
1383	Install_scrubbers	Yes	Quick	Yes	0.7
1384	Install_scrubbers	No	Quick	Yes	0.7
1385	New_cleaner_coal	Yes	Quick	Yes	0.4
1386	Install_scrubbers	Yes	Quick	Yes	0.7
1387	Install_scrubbers	No	Quick	No	0.7
1388	Install_scrubbers	Yes	Quick	Yes	0.7
1389	Install_scrubbers	Yes	Lengthy	No	0.7
1390	Install_scrubbers	No	Lengthy	No	0.7
1391	Install_scrubbers	Yes	Quick	Yes	0.7
1392	New_cleaner_coal	Yes	Quick	No	0.7
1393	Install_scrubbers	No	Quick	Yes	0.7
1394	Install_scrubbers	Yes	Quick	Yes	0.7
1395	Install_scrubbers	No	Lengthy	Yes	0.7
1396	New_cleaner_coal	Yes	Quick	No	0.7
1397	New_cleaner_coal	No	Quick	Yes	1
1398	Install_scrubbers	No	Quick	Yes	0.7
1399	Install_scrubbers	No	Quick	Yes	0.7
1400	Install_scrubbers	Yes	Quick	No	0.7
1401	Install_scrubbers	Yes	Lengthy	No	0.7
1402	Install_scrubbers	Yes	Quick	No	0.7
1403	Install_scrubbers	Yes	Quick	No	0.7
1404	Install_scrubbers	No	Quick	No	0.7
1405	New_cleaner_coal	Yes	Lengthy	No	0.3
1406	Install_scrubbers	No	Quick	No	0.7
1407	New_cleaner_coal	Yes	Quick	No	0.7
1408	Install_scrubbers	Yes	Lengthy	No	0.7
1409	New_cleaner_coal	Yes	Quick	Yes	0.4
1410	Install_scrubbers	No	Lengthy	Yes	0.7
1411	Install_scrubbers	No	Quick	No	0.7
1412	New_cleaner_coal	Yes	Quick	No	0.7
1413	New_cleaner_coal	No	Quick	Yes	1
1414	Install_scrubbers	No	Quick	Yes	0.7
1415	New_cleaner_coal	Yes	Quick	Yes	0.4
1416	New_cleaner_coal	No	Lengthy	No	1
1417	New_cleaner_coal	Yes	Quick	Yes	0.4
1418	New_cleaner_coal	No	Quick	Yes	1
1419	Install_scrubbers	No	Lengthy	No	0.7
1420	New_cleaner_coal	Yes	Quick	Yes	0.4
1421	Install_scrubbers	Yes	Quick	Yes	0.7
1422	New_cleaner_coal	Yes	Lengthy	No	0.3
1423	New_cleaner_coal	Yes	Quick	Yes	0.4
1424	New_cleaner_coal	Yes	Quick	Yes	0.4
1425	Install_scrubbers	Yes	Quick	No	0.7
1426	Install_scrubbers	Yes	Quick	Yes	0.7
1427	Install_scrubbers	Yes	Quick	No	0.7
1428	New_cleaner_coal	Yes	Quick	Yes	0.4
1429	Install_scrubbers	Yes	Lengthy	Yes	0.7
1430	New_cleaner_coal	No	Quick	Yes	1
1431	Install_scrubbers	No	Quick	Yes	0.7
1432	New_cleaner_coal	No	Quick	Yes	1
1433	Install_scrubbers	No	Quick	No	0.7
1434	Install_scrubbers	Yes	Quick	Yes	0.7
1435	Install_scrubbers	Yes	Quick	No	0.7
1436	Install_scrubbers	Yes	Quick	Yes	0.7
1437	Install_scrubbers	Yes	Quick	Yes	0.7
1438	Install_scrubbers	Yes	Quick	No	0.7
1439	New_cleaner_coal	Yes	Quick	Yes	0.4
1440	Install_scrubbers	Yes	Quick	Yes	0.7
1441	New_cleaner_coal	Yes	Quick	No	0.7
1442	New_cleaner_coal	No	Quick	Yes	1
1443	New_cleaner_coal	Yes	Lengthy	No	0.3
1444	New_cleaner_coal	No	Quick	Yes	1
1445	New_cleaner_coal	Yes	Lengthy	No	0.3
1446	Install_scrubbers	No	Quick	No	0.7
1447	New_cleaner_coal	Yes	Quick	Yes	0.4
1448	New_cleaner_coal	Yes	Lengthy	No	0.3
1449	Install_scrubbers	Yes	Quick	Yes	0.7
1450	Install_scrubbers	Yes	Quick	Yes	0.7
1451	Install_scrubbers	Yes	Quick	Yes	0.7
1452	Install_scrubbers	Yes	Quick	No	0.7
1453	Install_scrubbers	Yes	Quick	Yes	0.7
1454	Install_scrubbers	No	Lengthy	No	0.7
1455	New_cleaner_coal	No	Lengthy	Yes	1
1456	Install_scrubbers	Yes	Quick	No	0.7
1457	New_cleaner_coal	Yes	Quick	Yes	0.4
1458	New_cleaner_coal	No	Quick	No	1
1459	Install_scrubbers	No	Quick	Yes	0.7
1460	New_cleaner_coal	Yes	Lengthy	No	0.3
1461	Install_scrubbers	No	Quick	Yes	0.7
1462	Install_scrubbers	Yes	Quick	No	0.7
1463	New_cleaner_coal	Yes	Quick	No	0.7
1464	Install_scrubbers	Yes	Quick	No	0.7
1465	Install_scrubbers	Yes	Quick	Yes	0.7
1466	New_cleaner_coal	Yes	Lengthy	No	0.3
1467	Install_scrubbers	Yes	Quick	Yes	0.7
1468	New_cleaner_coal	Yes	Quick	No	0.7
1469	New_cleaner_coal	Yes	Quick	Yes	0.4
1470	Install_scrubbers	No	Quick	Yes	0.7
1471	New_cleaner_coal	No	Quick	Yes	1
1472	Install_scrubbers	Yes	Quick	Yes	0.7
1473	Install_scrubbers	Yes	Quick	No	0.7
1474	New_cleaner_coal	No	Lengthy	No	1
1475	Install_scrubbers	Yes	Lengthy	No	0.7
1476	New_cleaner_coal	No	Quick	No	1
1477	Install_scrubbers	No	Quick	No	0.7
1478	Install_scrubbers	Yes	Quick	Yes	0.7
1479	New_cleaner_coal	Yes	Quick	Yes	0.4
1480	New_cleaner_coal	Yes	Quick	No	0.7
1481	New_cleaner_coal	Yes	Quick	No	0.7
1482	New_cleaner_coal	Yes	Quick	Yes	0.4
1483	New_cleaner_coal	No	Quick	No	1
1484	New_cleaner_coal	No	Quick	Yes	1
1485	Install_scrubbers	No	Quick	Yes	0.7
1486	Install_scrubbers	Yes	Lengthy	Yes	0.7
1487	New_cleaner_coal	Yes	Quick	Yes	0.4
1488	New_cleaner_coal	Yes	Quick	Yes	0.4
1489	New_cleaner_coal	No	Quick	No	1
1490	Install_scrubbers	No	Quick	Yes	0.7
1491	Install_scrubbers	Yes	Quick	Yes	0.7
1492	New_cleaner_coal	Yes	Quick	No	0.7
1493	New_cleaner_coal	Yes	Lengthy	No	0.3
1494	Install_scrubbers	No	Lengthy	No	0.7
1495	New_cleaner_coal	No	Quick	No	1
1496	Install_scrubbers	No	Quick	No	0.7
1497	Install_scrubbers	Yes	Lengthy	No	0.7
1498	New_cleaner_coal	No	Quick	Yes	1
1499	Install_scrubbers	No	Quick	No	0.7
1500	New_cleaner_coal	No	Quick	Yes	1
1501	Install_scrubbers	Yes	Quick	No	0.7
1502	New_cleaner_coal	Yes	Quick	No	0.7
1503	New_cleaner_coal	No	Quick	Yes	1
1504	Install_scrubbers	No	Quick	Yes	0.7
1505	New_cleaner_coal	Yes	Quick	Yes	0.4
1506	New_cleaner_coal	No	Quick	Yes	1
1507	New_cleaner_coal	Yes	Quick	Yes	0.4
1508	Install_scrubbers	Yes	Quick	Yes	0.7
1509	Install_scrubbers	No	Quick	No	0.7
1510	Install_scrubbers	No	Quick	No	0.7
1511	Install_scrubbers	Yes	Quick	Yes	0.7
1512	New_cleaner_coal	No	Lengthy	No	1
1513	Install_scrubbers	Yes	Lengthy	No	0.7
1514	New_cleaner_coal	Yes	Quick	Yes	0.4
1515	New_cleaner_coal	Yes	Quick	Yes	0.4
1516	Install_scrubbers	No	Lengthy	No	0.7
1517	New_cleaner_coal	Yes	Quick	Yes	0.4
1518	Install_scrubbers	Yes	Quick	Yes	0.7
1519	Install_scrubbers	No	Quick	No	0.7
1520	New_cleaner_coal	Yes	Quick	Yes	0.4
1521	New_cleaner_coal	Yes	Quick	Yes	0.4
1522	Install_scrubbers	Yes	Quick	No	0.7
1523	Install_scrubbers	No	Quick	No	0.7
1524	Install_scrubbers	Yes	Quick	Yes	0.7
1525	New_cleaner_coal	Yes	Lengthy	No	0.3
1526	Install_scrubbers	Yes	Quick	Yes	0.7
1527	New_cleaner_coal	No	Quick	No	1
1528	Install_scrubbers	No	Quick	Yes	0.7
1529	Install_scrubbers	Yes	Quick	Yes	0.7
1530	New_cleaner_coal	Yes	Quick	No	0.7
1531	Install_scrubbers	Yes	Quick	Yes	0.7
1532	Install_scrubbers	No	Lengthy	No	0.7
1533	New_cleaner_coal	Yes	Quick	Yes	0.4
1534	Install_scrubbers	Yes	Quick	Yes	0.7
1535	New_cleaner_coal	No	Quick	Yes	1
1536	New_cleaner_coal	Yes	Quick	Yes	0.4
1537	Install_scrubbers	Yes	Quick	No	0.7
1538	Install_scrubbers	No	Quick	Yes	0.7
1539	Install_scrubbers	Yes	Quick	Yes	0.7
1540	New_cleaner_coal	No	Quick	Yes	1
1541	Install_scrubbers	Yes	Lengthy	No	0.7
1542	Install_scrubbers	Yes	Quick	No	0.7
1543	Install_scrubbers	No	Lengthy	No	0.7
1544	New_cleaner_coal	Yes	Quick	Yes	0.4
1545	New_cleaner_coal	Yes	Quick	Yes	0.4
1546	Install_scrubbers	Yes	Quick	Yes	0.7
1547	Install_scrubbers	Yes	Quick	Yes	0.7
1548	Install_scrubbers	No	Lengthy	No	0.7
1549	Install_scrubbers	Yes	Quick	No	0.7
1550	Install_scrubbers	Yes	Lengthy	No	0.7
1551	New_cleaner_coal	Yes	Quick	Yes	0.4
1552	Install_scrubbers	No	Quick	No	0.7
1553	Install_scrubbers	Yes	Quick	No	0.7
1554	Install_scrubbers	Yes	Quick	No	0.7
1555	Install_scrubbers	No	Lengthy	Yes	0.7
1556	New_cleaner_coal	Yes	Quick	Yes	0.4
1557	Install_scrubbers	No	Quick	No	0.7
1558	Install_scrubbers	No	Quick	Yes	0.7
1559	Install_scrubbers	No	Quick	Yes	0.7
1560	New_cleaner_coal	Yes	Quick	Yes	0.4
1561	New_cleaner_coal	Yes	Quick	Yes	0.4
1562	Install_scrubbers	Yes	Quick	Yes	0.7
1563	New_cleaner_coal	Yes	Quick	Yes	0.4
1564	Install_scrubbers	Yes	Quick	Yes	0.7
1565	New_cleaner_coal	Yes	Quick	Yes	0.4
1566	New_cleaner_coal	Yes	Lengthy	Yes	0
1567	Install_scrubbers	Yes	Quick	No	0.7
1568	Install_scrubbers	No	Lengthy	Yes	0.7
1569	New_cleaner_coal	No	Quick	No	1
1570	Install_scrubbers	Yes	Quick	Yes	0.7
1571	Install_scrubbers	No	Quick	Yes	0.7
1572	New_cleaner_coal	Yes	Quick	Yes	0.4
1573	Install_scrubbers	Yes	Quick	Yes	0.7
1574	Install_scrubbers	Yes	Quick	Yes	0.7
1575	Install_scrubbers	Yes	Lengthy	No	0.7
1576	Install_scrubbers	No	Quick	Yes	0.7
1577	New_cleaner_coal	Yes	Quick	No	0.7
1578	New_cleaner_coal	Yes	Lengthy	Yes	0
1579	New_cleaner_coal	Yes	Quick	No	0.7
1580	New_cleaner_coal	No	Quick	Yes	1
1581	Install_scrubbers	Yes	Quick	No	0.7
1582	New_cleaner_coal	Yes	Lengthy	No	0.3
1583	New_cleaner_coal	Yes	Quick	No	0.7
1584	New_cleaner_coal	Yes	Quick	No	0.7
1585	New_cleaner_coal	Yes	Quick	No	0.7
1586	Install_scrubbers	Yes	Quick	Yes	0.7
1587	New_cleaner_coal	Yes	Quick	Yes	0.4
1588	Install_scrubbers	Yes	Quick	No	0.7
1589	New_cleaner_coal	Yes	Quick	No	0.7
1590	New_cleaner_coal	Yes	Quick	Yes	0.4
1591	New_cleaner_coal	Yes	Quick	Yes	0.4
1592	New_cleaner_coal	No	Lengthy	No	1
1593	New_cleaner_coal	Yes	Quick	No	0.7
1594	New_cleaner_coal	Yes	Quick	No	0.7
1595	New_cleaner_coal	No	Quick	Yes	1
1596	Install_scrubbers	Yes	Lengthy	No	0.7
1597	Install_scrubbers	No	Lengthy	No	0.7
1598	Install_scrubbers	Yes	Quick	Yes	0.7
1599	Install_scrubbers	Yes	Quick	No	0.7
1600	Install_scrubbers	Yes	Quick	Yes	0.7
1601	Install_scrubbers	No	Quick	No	0.7
1602	Install_scrubbers	Yes	Quick	Yes	0.7
1603	Install_scrubbers	Yes	Quick	No	0.7
1604	New_cleaner_coal	No	Lengthy	No	1
1605	Install_scrubbers	No	Quick	Yes	0.7
1606	New_cleaner_coal	Yes	Lengthy	No	0.3
1607	New_cleaner_coal	Yes	Quick	No	0.7
1608	New_cleaner_coal	No	Quick	No	1
1609	New_cleaner_coal	Yes	Lengthy	No	0.3
1610	New_cleaner_coal	Yes	Lengthy	No	0.3
1611	Install_scrubbers	No	Quick	Yes	0.7
1612	Install_scrubbers	Yes	Quick	Yes	0.7
1613	Install_scrubbers	No	Quick	Yes	0.7
1614	New_cleaner_coal	Yes	Quick	Yes	0.4
1615	New_cleaner_coal	Yes	Quick	No	0.7
1616	New_cleaner_coal	Yes	Lengthy	No	0.3
1617	Install_scrubbers	Yes	Quick	No	0.7
1618	New_cleaner_coal	Yes	Lengthy	No	0.3
1619	Install_scrubbers	Yes	Quick	No	0.7
1620	New_cleaner_coal	No	Quick	Yes	1
1621	New_cleaner_coal	Yes	Lengthy	No	0.3
1622	Install_scrubbers	No	Quick	No	0.7
1623	New_cleaner_coal	No	Quick	Yes	1
1624	Install_scrubbers	Yes	Quick	Yes	0.7
1625	New_cleaner_coal	No	Quick	No	1
1626	Install_scrubbers	Yes	Quick	No	0.7
1627	New_cleaner_coal	Yes	Quick	Yes	0.4
1628	New_cleaner_coal	No	Quick	No	1
1629	Install_scrubbers	Yes	Quick	No	0.7
1630	New_cleaner_coal	No	Quick	Yes	1
1631	Install_scrubbers	No	Quick	Yes	0.7
1632	New_cleaner_coal	No	Quick	Yes	1
1633	Install_scrubbers	No	Quick	Yes	0.7
1634	New_cleaner_coal	Yes	Quick	No	0.7
1635	New_cleaner_coal	Yes	Lengthy	No	0.3
1636	Install_scrubbers	Yes	Quick	No	0.7
1637	Install_scrubbers	Yes	Quick	No	0.7
1638	New_cleaner_coal	Yes	Quick	Yes	0.4
1639	Install_scrubbers	No	Quick	Yes	0.7
1640	New_cleaner_coal	No	Quick	Yes	1
1641	New_cleaner_coal	No	Quick	Yes	1
1642	Install_scrubbers	Yes	Quick	No	0.7
1643	New_cleaner_coal	Yes	Quick	No	0.7
1644	New_cleaner_coal	Yes	Lengthy	No	0.3
1645	Install_scrubbers	No	Quick	Yes	0.7
1646	New_cleaner_coal	Yes	Quick	No	0.7
1647	New_cleaner_coal	Yes	Lengthy	Yes	0
1648	New_cleaner_coal	Yes	Quick	Yes	0.4
1649	Install_scrubbers	No	Quick	No	0.7
1650	Install_scrubbers	No	Quick	Yes	0.7
1651	Install_scrubbers	No	Quick	Yes	0.7
1652	Install_scrubbers	Yes	Quick	Yes	0.7
1653	Install_scrubbers	No	Quick	No	0.7
1654	New_cleaner_coal	No	Quick	Yes	1
1655	New_cleaner_coal	No	Quick	Yes	1
1656	Install_scrubbers	Yes	Quick	No	0.7
1657	Install_scrubbers	No	Lengthy	No	0.7
1658	Install_scrubbers	Yes	Quick	Yes	0.7
1659	Install_scrubbers	Yes	Quick	Yes	0.7
1660	New_cleaner_coal	Yes	Quick	No	0.7
1661	Install_scrubbers	Yes	Quick	No	0.7
1662	New_cleaner_coal	Yes	Quick	No	0.7
1663	New_cleaner_coal	No	Quick	Yes	1
1664	New_cleaner_coal	Yes	Quick	Yes	0.4
1665	Install_scrubbers	No	Quick	No	0.7
1666	Install_scrubbers	Yes	Quick	No	0.7
1667	New_cleaner_coal	No	Quick	Yes	1
1668	Install_scrubbers	Yes	Quick	Yes	0.7
1669	Install_scrubbers	Yes	Quick	Yes	0.7
1670	Install_scrubbers	Yes	Quick	Yes	0.7
1671	Install_scrubbers	Yes	Quick	Yes	0.7
1672	New_cleaner_coal	No	Quick	Yes	1
1673	New_cleaner_coal	Yes	Quick	Yes	0.4
1674	New_cleaner_coal	Yes	Lengthy	No	0.3
1675	Install_scrubbers	No	Quick	No	0.7
1676	New_cleaner_coal	Yes	Quick	No	0.7
1677	New_cleaner_coal	Yes	Lengthy	No	0.3
1678	New_cleaner_coal	No	Quick	No	1
1679	New_cleaner_coal	Yes	Quick	No	0.7
1680	Install_scrubbers	No	Quick	Yes	0.7
1681	New_cleaner_coal	No	Quick	Yes	1
1682	New_cleaner_coal	Yes	Quick	Yes	0.4
1683	Install_scrubbers	No	Quick	Yes	0.7
1684	Install_scrubbers	Yes	Quick	Yes	0.7
1685	New_cleaner_coal	No	Quick	No	1
1686	New_cleaner_coal	Yes	Quick	No	0.7
1687	Install_scrubbers	No	Quick	Yes	0.7
1688	New_cleaner_coal	Yes	Quick	No	0.7
1689	New_cleaner_coal	No	Quick	Yes	1
1690	New_cleaner_coal	No	Quick	No	1
1691	New_cleaner_coal	No	Quick	Yes	1
1692	New_cleaner_coal	Yes	Lengthy	No	0.3
1693	New_cleaner_coal	Yes	Quick	Yes	0.4
1694	Install_scrubbers	Yes	Quick	Yes	0.7
1695	Install_scrubbers	No	Quick	Yes	0.7
1696	New_cleaner_coal	Yes	Lengthy	No	0.3
1697	Install_scrubbers	No	Quick	Yes	0.7
1698	Install_scrubbers	Yes	Quick	Yes	0.7
1699	New_cleaner_coal	Yes	Quick	Yes	0.4
1700	Install_scrubbers	Yes	Quick	No	0.7
1701	New_cleaner_coal	Yes	Quick	Yes	0.4
1702	Install_scrubbers	Yes	Quick	Yes	0.7
1703	New_cleaner_coal	Yes	Quick	Yes	0.4
1704	New_cleaner_coal	No	Quick	No	1
1705	New_cleaner_coal	No	Quick	Yes	1
1706	Install_scrubbers	No	Quick	Yes	0.7
1707	Install_scrubbers	Yes	Lengthy	Yes	0.7
1708	New_cleaner_coal	Yes	Quick	No	0.7
1709	New_cleaner_coal	No	Quick	No	1
1710	Install_scrubbers	No	Lengthy	No	0.7
1711	New_cleaner_coal	Yes	Quick	Yes	0.4
1712	New_cleaner_coal	Yes	Quick	Yes	0.4
1713	New_cleaner_coal	No	Quick	Yes	1
1714	Install_scrubbers	Yes	Quick	No	0.7
1715	Install_scrubbers	No	Quick	Yes	0.7
1716	New_cleaner_coal	No	Quick	Yes	1
